Timestamp (s), Slip Angle (deg)
29.166667, -10.611644
29.200000, -9.864264
29.233333, -10.536327
29.266667, -8.936134
29.300000, -8.450311
29.333333, -10.145629
29.366667, -9.261511
29.400000, -9.397570
29.433333, -9.742059
29.466667, -10.283747
29.500000, -10.997861
29.533333, -10.467475
29.566667, -10.828330
29.600000, -11.916324
29.633333, -10.232385
29.666667, -12.742380
29.700000, -10.195255
29.733333, -13.216699
29.766667, -11.274206
29.800000, -11.313140
29.833333, -11.239712
29.866667, -10.787487
29.900000, -9.924016
29.933333, -10.820500
29.966667, -11.149517
30.000000, -10.093109
30.033333, -10.686372
30.066667, -10.903468
30.100000, -11.004963
30.133333, -11.696138
30.166667, -11.218344
30.200000, -8.707793
30.233333, -12.437163
30.266667, -14.408675
30.300000, -12.936061
30.333333, -14.434859
30.366667, -13.212711
30.400000, -12.865849
30.433333, -11.801993
30.466667, -11.353141
30.500000, -12.624209
30.533333, -10.384741
30.566667, -8.826683
30.600000, -10.595201
30.633333, -8.588497
30.666667, -10.914517
30.700000, -10.723546
30.733333, -11.729821
30.766667, -9.551695
30.800000, -10.083869
30.833333, -12.184239
30.866667, -10.427083
30.900000, -11.568718
30.933333, -12.047931
30.966667, -11.427819
31.000000, -12.076189
31.033333, -11.910130
31.066667, -11.559073
31.100000, -10.698127
31.133333, -13.526432
31.166667, -15.742868
31.200000, -15.312762
31.233333, -14.370331
31.266667, -12.977670
31.300000, -14.378481
31.333333, -14.760962
31.366667, -7.378178
31.400000, -9.214812
31.433333, -6.612583
31.466667, -13.547840
31.500000, -12.871552
31.533333, -14.871407
31.566667, -14.368529
31.600000, -13.408646
31.633333, -12.906840
31.666667, -16.023252
31.700000, -10.399424
31.733333, -10.756458
31.766667, -12.909141
31.800000, -14.781217
31.833333, -10.373548
31.866667, -11.781270
31.900000, -13.428183
31.933333, -12.509269
31.966667, -11.260354
32.000000, -12.738947
32.033333, -13.389617
32.066667, -10.398139
32.100000, -9.748862
32.133333, -18.601152
32.166667, -13.107362
32.200000, -11.197114
32.233333, -12.571815
32.266667, -12.853870
32.300000, -13.456899
32.333333, -13.789430
32.366667, -14.052335
32.400000, -15.057324
32.433333, -13.173889
32.466667, -14.069821
32.500000, -12.350092
32.533333, -13.171386
32.566667, -15.520483
32.600000, -16.212081
32.633333, -12.476944
32.666667, -9.524274
32.700000, -12.344856
32.733333, -14.261989
32.766667, -13.830960
32.800000, -16.126397
32.833333, -12.162061
32.866667, -13.211363
32.900000, -12.080867
32.933333, -14.293871
32.966667, -13.134602
33.000000, -13.935475
33.033333, -11.727411
33.066667, -12.676479
33.100000, -12.139042
33.133333, -12.295453
33.166667, -13.047973
33.200000, -14.818504
33.233333, -15.017237
33.266667, -11.761413
33.300000, -13.935286
33.333333, -13.163246
33.366667, -15.293382
33.400000, -15.042220
33.433333, -12.074360
33.466667, -11.824302
33.500000, -14.208952
33.533333, -13.627198
33.566667, -11.726887
33.600000, -11.286867
33.633333, -11.768215
33.666667, -8.161936
33.700000, -9.481895
33.733333, -9.017198
33.766667, -9.586497
33.800000, -13.671955
33.833333, -12.507172
33.866667, -10.567361
33.900000, -9.713693
33.933333, -15.201931
33.966667, -9.714867
34.000000, -11.301892
34.033333, -13.765324
34.066667, -14.495904
34.100000, -13.346302
34.133333, -14.911675
34.166667, -12.464580
34.200000, -15.988288
34.233333, -16.188155
34.266667, -16.491328
34.300000, -16.178673
34.333333, -14.990349
34.366667, -14.547892
34.400000, -15.068468
34.433333, -14.367493
34.466667, -14.548254
34.500000, -13.598152
34.533333, -12.826206
34.566667, -14.544306
34.600000, -14.515682
34.633333, -14.822737
34.666667, -14.951857
